time,SP,PV,CO,PV_filtered,Filtered_PV
291,30,30.228,8.4774,30.170915049946828,15.189194029850748
292,30,30.941,6.3222,30.186,20.526497187592515
293,30,29.389,9.736,29.858,22.81852537932854
294,30,29.244,8.9146,29.737,24.17907101268357
295,30,30.578,5.574,29.849666666666668,25.340456626518275
296,30,29.727,8.3027,30.12933333333333,26.045460026267133
297,30,30.083,6.8027,29.836,26.634232208210385
298,30,29.698,7.9323,29.77733333333333,27.047279380138423
299,30,29.551,8.1186,29.373666666666665,27.363994392650024
300,40,28.872,29.603,29.334000000000003,27.545111659050633
301,40,29.579,17.534,29.473,27.77926420023114
302,40,29.968,14.527,29.771,28.02267418843431
303,40,29.766,14.653,29.825666666666663,28.21113933289717
304,40,29.743,15.016,29.616333333333333,28.372951228132532
305,40,29.34,15.982,29.292666666666666,28.473182193297877
306,40,28.795,17.088,29.318,28.506023306756646
307,40,29.819,14.777,30.08421412758549,28.638317352904522
308,40,33.331,11.388,33.31139620459765,29.10624629365667
309,40,36.482,8.4408,36.30074948691973,29.83546786269716
310,40,37.956,9.5472,37.74633333333333,30.63273288971649
311,40,38.801,10.517,39.12913466511326,31.4301079838493
312,40,40.855,8.0504,40.744805427851695,32.34585099377733
313,40,42.334,7.7019,42.47067628264641,33.31260346987474
314,40,44.635,5.3212,43.49366666666666,34.40505845045017
315,40,43.512,9.7508,44.395,35.281493758383505
316,40,45.038,5.8195,43.763,36.2184649444074
317,40,42.739,11.421,43.54,36.84358803890458
318,40,42.843,9.0662,42.79266666666666,37.41793877095839
319,40,42.796,8.6382,42.71666666666667,37.93220927391356
320,40,42.511,8.6348,42.062000000000005,38.36963578519171
321,40,40.879,11.36,41.27933333333333,38.609177416485515
322,40,40.448,10.22,40.898,38.78459825533593
323,40,41.367,7.8145,40.488751779024334,39.03082725960186
324,40,38.069,14.984,39.18622994252857,38.939157209187165
325,40,39.812,8.7474,38.835,39.02231729448679
326,40,38.624,11.992,39.16366666666667,38.984378457193145
327,40,39.055,10.168,38.854000000000006,38.99110342929089
328,40,38.883,10.757,39.38966666666667,38.980811196696074
329,40,40.231,8.2592,38.99766666666667,39.09981960063422
330,40,37.879,14.336,38.852,38.983621838999596
331,40,38.446,10.941,38.91366666666666,38.93245630432525
332,40,40.416,7.5766,39.619,39.07363318291793
333,40,39.995,10.056,40.648,39.16130604655865
334,40,41.533,7.2849,40.40133333333333,39.38697208725177
335,40,39.676,12.555,41.025,39.41447171586786
336,40,41.866,6.5503,40.331714150802085,39.64771392593249
337,40,39.39,13.18,40.81016963031126,39.62319539931625
338,40,42.001,6.4159,41.06428525607557,39.849410389368025
339,40,41.57,9.0632,41.344,40.01309705022751
340,40,40.461,11.089,41.16066666666666,40.05570713158274
341,40,41.451,8.0101,40.378234651125496,40.18844279701993
342,40,38.537,14.393,39.53098306785933,40.031341153419184
343,40,39.349,10.418,39.434333333333335,39.96643070446512
344,40,40.417,7.8276,40.181,40.00929258742118
345,40,40.777,8.6692,40.16566666666667,40.082322807170634
346,40,39.303,11.858,39.89866666666666,40.00818803045881
347,40,39.616,10.083,39.742333333333335,39.97088045130824
348,40,40.308,8.8712,40.23266666666667,40.00294943118971
349,40,40.774,8.4227,40.553,40.07629650982379
350,40,40.577,10.03,40.29933333333333,40.12392639721094
351,40,39.547,11.96,40.22,40.06904584041024
352,40,40.536,8.4072,39.59066666666666,40.11346513537359
353,40,38.689,12.979,39.25733333333333,39.97796220880251
354,40,38.547,11.881,39.084,39.84184138913187
355,40,40.016,8.1342,39.065333333333335,39.85840827829736
356,40,38.633,12.209,39.037,39.741841037562054
357,40,38.462,11.327,39.24166666666667,39.62009593899774
358,40,40.63,6.6341,39.93200000000001,39.71616319057792
359,40,40.704,8.9743,40.561,39.8101312554453
360,40,40.349,10.049,40.31166666666667,39.86139117662382
361,40,39.882,11.168,39.729,39.863351591653554
362,40,38.956,12.554,39.75233333333333,39.77703975887255
363,40,40.419,8.0683,40.02933333333333,39.83810622504708
364,40,40.713,9.042,40.25466666666667,39.92133048105262
365,40,39.632,11.855,40.24666666666667,39.89380792701537
366,40,40.395,8.7519,39.936,39.94148380456341
367,40,39.781,10.682,39.775,39.9262177897461
368,40,39.149,11.559,39.56633333333334,39.85228498660719
369,40,39.769,9.669,39.96966666666667,39.844362506865316
370,40,40.991,7.8885,40.469,39.95343633022934
371,40,40.647,9.464,40.73,40.0194115307478
372,40,40.552,9.6604,40.561,40.07007397396136
373,40,40.484,10.117,40.184333333333335,40.10944865911137
374,40,39.517,11.702,40.419,40.05309202169428
375,40,41.256,7.2319,40.315666666666665,40.16751855749406
376,40,40.174,11.046,40.795,40.16813510424299
377,40,40.955,8.51,40.21966666666666,40.24298556966115
378,40,39.53,11.865,39.681333333333335,40.175162870303964
379,40,38.559,12.64,38.919,40.0214254984054
380,40,38.668,11.021,39.061,39.89268100006883
381,40,39.956,8.266,39.86866666666666,39.898704215127104
382,40,40.982,7.6279,39.90233333333333,40.001752643963556
383,40,38.769,13.119,39.38229679909888,39.88448714319254
384,40,38.47,12.19,38.515,39.74993416246564
385,40,38.306,11.55,38.562666666666665,39.61258003659065
386,40,38.912,10.246,39.35261476065211,39.545937414743314
387,40,41.12,6.4863,40.02466666666667,39.69566999632285
388,40,40.042,10.995,40.04166666666666,39.728614611075415
389,40,38.963,12.394,39.64633333333333,39.65578558061721
390,40,39.934,9.0934,39.75633333333333,39.682250705647434
391,40,40.372,9.3466,40.436,39.74786305364577
392,40,41.002,8.7984,40.79333333333333,39.86716273309709
393,40,41.006,9.4992,40.691,39.975494539463654
394,40,40.065,11.429,40.289,39.984008739427
395,40,39.796,10.603,40.501666666666665,39.96612442273528
396,40,41.644,6.7062,41.04433333333333,40.125732206274456
397,40,41.693,8.6281,41.46633333333333,40.2748184329944
398,40,41.062,10.041,41.29566666666667,40.3496990181882
399,40,41.132,9.2693,40.65733333333333,40.42411533808616
400,40,39.778,11.862,39.91266666666667,40.36265366693565
401,40,38.828,12.451,39.78085536983449,40.216669856555576
402,40,41.965,4.9773,40.89002481305717,40.38297962508701
403,40,40.673,10.359,40.48721726560149,40.41056779062839
404,40,38.344,14.071,39.89566666666666,40.2139856907511
405,40,40.67,6.9112,39.16381280966931,40.257364016344496
406,40,38.202,13.847,39.34033333333333,40.06184767463604
407,40,39.149,9.8432,39.058,39.97501311080311
408,40,39.823,9.1576,39.807,39.96055287549775
409,40,40.449,8.8037,40.107,40.00701637010745
410,40,40.049,9.7501,40.185,40.01101005962536
411,40,40.057,10.03,40.169,40.01538484911526
412,40,40.401,9.7822,39.612,40.0520664602562
413,40,38.378,13.585,39.37566666666667,39.8928210188418
414,40,39.348,10.196,39.63583940611751,39.840994961933966
415,40,41.834,5.2501,40.40173752245544,40.030579410675394
416,40,39.269,13.009,40.24416595420381,39.9581342286576
417,40,39.728,10.237,39.809333333333335,39.93624272811299
418,40,40.431,8.7258,40.136,39.98330647499719
419,40,40.249,9.7561,39.84633333333334,40.00858055083196
420,40,38.859,12.727,39.91133333333334,39.899226790631985
421,40,40.626,7.9912,40.495415297869776,39.96836103546533
422,40,41.891,6.6475,40.60666666666666,40.15125191694908
423,40,39.303,13.043,40.808846976438936,40.07056201953588
424,40,41.259,7.4872,40.763,40.18361208969714
425,40,41.727,7.8125,40.791,40.33042674423849
426,40,39.387,13.255,40.10279045853306,40.24068334880579
427,40,39.298,11.267,39.62533333333334,40.15101066880566
428,40,40.191,9.0146,40.159333333333336,40.15481465081526
429,40,40.989,7.7235,40.65833333333334,40.23416646706718
430,40,40.795,8.9862,40.34233333333333,40.28751571312704
431,40,39.243,12.724,40.12200000000001,40.18815623741668
432,40,40.328,8.5122,39.777,40.20145886442077
433,40,39.76,10.29,39.89666666666667,40.159465124388646
434,40,39.602,10.793,39.52,40.10643629792875
435,40,39.198,11.253,39.70733333333333,40.02002136597125
436,40,40.322,8.2928,39.298,40.04874705997061
437,40,38.374,13.121,39.02766666666667,39.889436876567174
438,40,38.387,11.362,38.47933333333333,39.74651768591507
439,40,38.677,10.854,38.959333333333326,39.64477989949417
440,40,39.814,8.4241,38.87733333333333,39.66087694835097
441,40,38.141,13.087,38.909,39.51629877223125
442,40,38.772,10.556,39.071666666666665,39.44549740959852
443,40,40.302,7.8499,39.55266666666667,39.526972151679715
444,40,39.584,10.739,39.68266666666667,39.53239692130144
445,40,39.162,11.799,39.96066666666667,39.497162943063785
446,40,41.136,7.0987,40.23766666666666,39.6530571902305
447,40,40.415,10.457,41.034,39.72553694055733
448,40,41.551,7.6205,40.635333333333335,39.89918397165051
449,40,39.94,12.402,41.347,39.90306659316248
450,30,42.55,0.0,41.2832864050088,40.15485592695432
451,30,39.533,2.2853,40.64279359377166,40.09570193042465
452,30,40.753,0.94329,40.708333333333336,40.15822735800569
453,30,41.839,0.22494,41.44733333333333,40.31811072442892
454,30,41.75,1.1344,41.124,40.45431908004088
455,30,39.783,5.3808,40.357,40.39045990493334
456,30,39.538,3.2037,40.14866666666666,40.30936972299187
457,30,41.125,0.0,39.7431653119496,40.386956489450675
458,30,38.389,4.1374,38.57113552651587,40.19690103428722
459,30,36.989,4.3524,36.79008631906666,39.891749698705134
460,30,33.486,7.5513,33.61768467883129,39.28240325844042
461,30,31.61,7.9487,31.97850660073461,38.552566497139686
462,30,30.855,6.5526,30.921333333333337,37.82033608472111
463,30,30.299,6.6382,30.012,37.10486957653304
464,30,28.882,8.3481,28.756803232846583,36.322669749675256
465,30,26.836,10.719,27.084882119657856,35.420251029958486
466,30,25.803,10.731,26.170666666666666,34.5054107761437
467,30,25.873,9.2843,26.354,33.684253374628426
468,30,27.386,6.2641,26.526666666666667,33.085132513803835
469,30,26.321,10.208,27.259666666666664,32.44169493621657
470,30,28.072,5.8784,26.95833333333333,32.026028046365326
471,30,26.482,10.895,27.069333333333333,31.498652811041453
472,30,26.654,9.6921,27.251174278225665,31.037805590407263
473,30,29.305,4.4759,28.14857173200573,30.872972593826255
474,30,28.448,9.0461,29.474012655073984,30.64229726505307
475,30,31.338,2.8759,30.05518521621441,30.708475933430954
476,30,29.779,8.6197,30.63,30.620059607788015
477,30,30.773,6.1645,30.661666666666665,30.634608050663623
478,30,31.433,5.2072,30.507,30.71055502254772
479,30,29.315,10.801,30.696,30.57780295991953
480,30,31.34,4.6427,30.581333333333333,30.65030689388486
481,30,31.089,6.0767,31.014666666666667,30.69203754137394
482,30,30.615,7.5511,30.09318487536529,30.684709351261787
483,30,28.507,10.878,29.615333333333336,30.477554919144218
484,30,29.724,6.4588,29.32633333333333,30.40587306625863
485,30,29.748,6.9732,29.811,30.343292942162964
486,30,29.961,6.5263,29.349,30.306927355869075
487,30,28.338,10.722,29.132,30.119633294772502
488,30,29.097,7.2155,29.278333333333336,30.022355382400782
489,30,30.4,4.859,29.510666666666665,30.058278797183245
490,30,29.035,9.3886,29.553,29.96093948144507
491,30,29.224,8.3705,29.245,29.89083817077415
492,30,29.476,7.4467,29.706666666666667,29.851376722148043
493,30,30.42,5.7713,29.485666666666663,29.90546696708546
494,30,28.561,10.44,29.370666666666665,29.777574651746846
495,30,29.131,8.1875,29.161666666666665,29.71606928845003
496,30,29.793,6.7502,29.98333333333333,29.72338731638351
497,30,31.026,4.5761,30.71366666666667,29.84729824627292
498,30,31.322,5.7753,30.578333333333333,29.987579135528925
499,30,29.387,10.511,29.848000000000003,29.93044909212342
500,40,28.835,30.171,29.39433333333333,29.82624458271033
501,40,29.961,16.414,29.348666666666663,29.83906318126538
502,40,29.25,16.361,29.88733333333333,29.783028592110636
503,40,30.451,12.846,29.631,29.846569320165976
504,40,29.192,16.538,30.161,29.784303464659594
505,40,30.84,12.124,29.695,29.88472651521049
506,40,29.053,17.584,29.874,29.80560859534863
507,40,29.729,15.694,30.052729093201105,29.798321208693668
508,40,33.529,11.167,33.476194079349334,30.15320173762116
509,40,36.36,8.7406,36.15077678485527,30.74362293802902
510,40,37.65,10.145,37.80080965531042,31.4005915171617
511,40,39.609,8.3163,39.501160738620975,32.18141573361013
512,40,41.048,8.4987,40.952666666666666,33.0248488701131
513,40,42.201,7.9689,42.224,33.89772953035149
514,40,43.423,7.5844,42.854000000000006,34.8038201405438
515,40,42.938,9.6194,43.67966666666666,35.57758336498488
516,40,44.678,5.5533,43.62533333333334,36.44325978730797
517,40,43.26,9.676,43.44233333333333,37.09170166814713
518,40,42.389,10.418,42.634,37.595606758629714
519,40,42.253,9.0883,42.04166666666666,38.03864092731033
520,40,41.483,10.097,41.42233333333333,38.36628531534522
521,40,40.531,10.867,40.472,38.57220363081574
522,40,39.402,11.922,39.54833333333333,38.65113794568746
523,40,38.712,12.074,39.00833333333333,38.656927443855025
524,40,38.911,10.242,38.847,38.681096075933674
525,40,38.918,10.483,38.775000000000006,38.70363154322546
526,40,38.496,11.627,38.416,38.68388060887711
527,40,37.834,12.512,38.215,38.60303578227173
528,40,38.315,10.916,38.833,38.57563640095785
529,40,40.35,7.209,39.53,38.74442259986758
530,40,39.925,10.408,40.398,38.85672493293768
531,40,40.919,8.7095,40.822,39.05289868777783
532,40,41.622,8.0973,40.79966666666667,39.297284249642416
533,40,39.858,12.624,41.026,39.35062229164394
534,40,41.598,7.6305,40.717666666666666,39.56440392079405
535,40,40.697,10.904,41.16,39.67214203445488
536,40,41.185,9.1553,40.52933333333333,39.81605253038284
537,40,39.706,12.002,40.55133333333333,39.805583792017295
538,40,40.763,8.5579,40.08533333333333,39.89665793409686
539,40,39.787,11.139,40.53766666666667,39.88622673167223
540,40,41.063,7.6118,40.446,39.99816719700124
541,40,40.488,10.306,40.01848283378969,40.044762504166066
542,40,38.471,13.693,39.43233333333333,39.895058468754016
543,40,39.338,10.03,39.42333333333333,39.84206832537967
544,40,40.461,8.0183,39.96066666666667,39.90094415263424
545,40,40.083,10.301,39.90133333333333,39.918262200909545
546,40,39.16,11.88,40.333666666666666,39.84613256821333
547,40,41.758,5.8302,40.48159129127752,40.02799880848381
548,40,38.767,13.93,40.07013643145044,39.908046395219365
549,40,40.894,7.456,40.65640799565088,40.00183515494263
550,40,41.973,7.1452,40.84966666666666,40.18934205702366
551,40,39.682,13.081,40.74033333333333,40.141081183435915
552,40,40.566,8.9531,39.75466666666667,40.18150155270622
553,40,39.016,12.679,39.90466666666666,40.07063330844621
554,40,40.132,9.0731,39.49,40.07647081019198
555,40,39.322,10.945,40.02166666666667,40.00470183324193
556,40,40.611,8.3454,40.302,40.06237589904686
557,40,40.973,8.1831,40.678666666666665,40.14899894559631
558,40,40.452,9.8038,40.71533333333333,40.17782189725405
559,40,40.721,9.5707,40.165,40.22949167189493
560,40,39.322,12.279,40.398,40.143166597415224
561,40,41.151,7.4327,40.36333333333334,40.23903667119738
562,40,40.617,9.8195,40.22166666666666,40.2749904033582
563,40,38.897,13.172,39.409,40.143909173759894
564,40,38.713,11.591,38.81333333333333,40.007794050256244
565,40,38.83,10.6,39.347,39.895756483125936
566,40,40.498,7.1572,39.21966666666667,39.953044850677024
567,40,38.331,13.396,39.61433333333334,39.79874796082047
568,40,40.014,8.473,39.71366666666666,39.81922379425185
569,40,40.796,7.736,39.809333333333335,39.91213955460824
570,40,38.618,13.492,39.527,39.7890346304546
571,40,39.167,10.901,38.98633333333333,39.729863634768414
572,40,39.174,10.9,39.841,39.676987149883715
573,40,41.182,6.7138,40.36266666666666,39.82015137981864
574,40,40.732,9.2824,40.84966666666667,39.906890908664124
575,40,40.635,10.1,40.38,39.97615222916492
576,40,39.773,11.479,40.379,39.95682738921707
577,40,40.729,8.3726,40.237,40.0302802485671
578,40,40.209,10.636,40.234,40.047280950977104
579,40,39.764,11.091,39.98500000000001,40.02033387261911
580,40,39.982,10.072,39.94833333333333,40.01668736597731
581,40,40.099,9.5119,40.00333333333333,40.02451734886607
582,40,39.929,10.032,40.38233333333333,40.015431268508166
583,40,41.119,7.6542,40.94433333333333,40.120408157982624
584,40,41.785,7.7168,40.897,40.27875232707059
585,40,39.787,12.414,39.98443024279921,40.231974425328204
586,40,38.625,13.172,39.552666666666674,40.07911110850705
587,40,40.246,8.2561,39.24933333333334,40.094986401288395
588,40,38.877,12.257,40.04366666666667,39.97912553990226
589,40,41.008,6.752,40.13466666666667,40.07699714263856
590,40,40.519,9.6485,40.749,40.11904262995669
591,40,40.72,8.9548,40.04233333333334,40.17620865289086
592,40,38.888,12.906,39.52966666666666,40.05366790530031
593,40,38.981,11.344,39.431666666666665,39.95163045450621
594,40,40.426,8.2032,39.734,39.99675482050744
595,40,39.795,10.413,40.115,39.977562908949096
596,40,40.124,9.8036,40.41033333333333,39.991492725809195
597,40,41.312,7.1239,40.904,40.11710587723072
598,40,41.276,8.711,41.13133333333333,40.22734559023354
599,40,40.806,9.9472,41.12333333333333,40.28239004581162
600,40,41.288,8.8722,40.61866666666666,40.37804861423856
601,40,39.762,12.251,40.02633333333333,40.31944703787784
602,40,39.029,11.986,40.117666666666665,40.196693364090066
603,40,41.562,5.6981,40.385333333333335,40.32656805129954
604,40,40.565,10.091,40.55266666666666,40.34924887181542
605,40,39.531,11.452,40.264,40.27141301172989
606,40,40.696,7.9684,40.02666666666667,40.311801815859624
607,40,39.853,10.648,40.17666666666667,40.26815832892513
608,40,39.981,9.7039,39.811,40.24084241529238
609,40,39.599,10.853,39.882666666666665,40.17978720561904
610,40,40.068,9.5641,39.24766666666667,40.16915345640701
611,40,38.076,13.325,39.56666666666667,39.970042397189815
612,40,40.556,6.6766,39.79587666966492,40.02578156843633
613,40,40.505,9.0384,39.75414110499708,40.07136718434661
614,40,38.2,13.941,38.88084430578487,39.89335352695374
615,40,38.041,12.258,38.35833333333333,39.71714854223677
616,40,38.834,9.7535,38.36866666666666,39.633139106066366
617,40,38.231,11.728,38.454,39.49976073300721
618,40,38.297,11.226,38.898,39.38534821212831
619,40,40.166,7.7222,38.84433333333333,39.459607652537294
620,40,38.07,13.296,39.27733333333333,39.32742133301729
621,40,39.596,8.7298,39.60609611113284,39.3529698577575
622,40,41.162,7.204,40.457,39.52505370888423
623,40,40.613,10.288,40.949000000000005,39.62854451493689
624,40,41.072,9.0152,41.08766666666667,39.765853105324304
625,40,41.578,8.5437,41.412,39.938233437283046
626,40,41.586,9.0541,40.82,40.0949771029904
627,40,39.296,13.612,40.42933333333334,40.01897446841062
628,40,40.406,9.4632,40.39566666666666,40.055790241904425
629,40,41.485,7.2603,40.594,40.19174370862561
630,40,39.891,11.456,40.144,40.163135486808876
631,40,39.056,12.159,39.314,40.057819310013194
632,40,38.995,10.962,39.684666666666665,39.95671870607732
633,40,41.003,6.4106,39.579,40.056246132523
634,40,38.739,13.1,39.81166666666666,39.930943196948164
635,40,39.693,9.8069,39.57033333333333,39.908308868904584
636,40,40.279,8.9053,39.54166666666666,39.94357083382594
637,40,38.653,12.714,39.13366666666667,39.82080538395826
638,40,38.469,11.943,39.32809700636382,39.69221500228722
639,40,40.905,6.6005,40.418029759239296,39.80758108056407
640,40,41.376,7.9472,40.97466666666667,39.956776807895615
641,40,40.643,10.044,40.39766666666667,40.022053735500265
642,40,39.174,13.08,40.16866666666667,39.941382690082314
643,40,40.689,8.1764,40.47966666666667,40.012499728353525
644,40,41.576,7.3524,41.42666666666667,40.161227569697886
645,40,42.015,7.9743,41.45633333333333,40.337567527485156
646,40,40.778,11.241,41.047666666666665,40.379463632067285
647,40,40.35,10.435,40.726,40.376660906365856
648,40,41.05,8.3022,40.864333333333335,40.44071223510884
649,40,41.193,8.6144,41.001,40.51227355004498
650,30,40.76,0.0,40.72,40.53583850926748
651,30,40.207,0.47828,40.16866666666667,40.504557771731854
652,30,39.539,3.438,39.28033333333334,40.41270916403592
653,30,38.095,5.9804,39.42775328828076,40.19223726065204
654,30,40.852,0.0,39.59877687332297,40.25499713975288
655,30,39.642,1.8734,40.089,40.19668583466452
