time,SP,PV,CO
514,40,43.423,7.5844
515,40,42.938,9.6194
516,40,44.678,5.5533
517,40,43.26,9.676
518,40,42.389,10.418
519,40,42.253,9.0883
520,40,41.483,10.097
521,40,40.531,10.867
522,40,39.402,11.922
523,40,38.712,12.074
524,40,38.911,10.242
525,40,38.918,10.483
526,40,38.496,11.627
527,40,37.834,12.512
528,40,38.315,10.916
529,40,40.35,7.209
530,40,39.925,10.408
531,40,40.919,8.7095
532,40,41.622,8.0973
533,40,39.858,12.624
534,40,41.598,7.6305
535,40,40.697,10.904
536,40,41.185,9.1553
537,40,39.706,12.002
538,40,40.763,8.5579
539,40,39.787,11.139
540,40,41.063,7.6118
541,40,40.488,10.306
542,40,38.471,13.693
543,40,39.338,10.03
544,40,40.461,8.0183
545,40,40.083,10.301
546,40,39.16,11.88
547,40,41.758,5.8302
548,40,38.767,13.93
549,40,40.894,7.456
550,40,41.973,7.1452
551,40,39.682,13.081
552,40,40.566,8.9531
553,40,39.016,12.679
554,40,40.132,9.0731
555,40,39.322,10.945
556,40,40.611,8.3454
557,40,40.973,8.1831
558,40,40.452,9.8038
559,40,40.721,9.5707
560,40,39.322,12.279
561,40,41.151,7.4327
562,40,40.617,9.8195
563,40,38.897,13.172
564,40,38.713,11.591
565,40,38.83,10.6
566,40,40.498,7.1572
567,40,38.331,13.396
568,40,40.014,8.473
569,40,40.796,7.736
570,40,38.618,13.492
571,40,39.167,10.901
572,40,39.174,10.9
573,40,41.182,6.7138
574,40,40.732,9.2824
575,40,40.635,10.1
576,40,39.773,11.479
577,40,40.729,8.3726
578,40,40.209,10.636
579,40,39.764,11.091
580,40,39.982,10.072
581,40,40.099,9.5119
582,40,39.929,10.032
583,40,41.119,7.6542
584,40,41.785,7.7168
585,40,39.787,12.414
586,40,38.625,13.172
587,40,40.246,8.2561
588,40,38.877,12.257
589,40,41.008,6.752
590,40,40.519,9.6485
591,40,40.72,8.9548
592,40,38.888,12.906
593,40,38.981,11.344
594,40,40.426,8.2032
595,40,39.795,10.413
596,40,40.124,9.8036
597,40,41.312,7.1239
598,40,41.276,8.711
599,40,40.806,9.9472
600,40,41.288,8.8722
601,40,39.762,12.251
602,40,39.029,11.986
603,40,41.562,5.6981
604,40,40.565,10.091
605,40,39.531,11.452
606,40,40.696,7.9684
607,40,39.853,10.648
608,40,39.981,9.7039
609,40,39.599,10.853
610,40,40.068,9.5641
611,40,38.076,13.325
612,40,40.556,6.6766
613,40,40.505,9.0384
614,40,38.2,13.941
615,40,38.041,12.258
616,40,38.834,9.7535
617,40,38.231,11.728
618,40,38.297,11.226
619,40,40.166,7.7222
620,40,38.07,13.296
621,40,39.596,8.7298
622,40,41.162,7.204
623,40,40.613,10.288
624,40,41.072,9.0152
625,40,41.578,8.5437
626,40,41.586,9.0541
627,40,39.296,13.612
628,40,40.406,9.4632
629,40,41.485,7.2603
630,40,39.891,11.456
631,40,39.056,12.159
632,40,38.995,10.962
633,40,41.003,6.4106
634,40,38.739,13.1
635,40,39.693,9.8069
636,40,40.279,8.9053
